Home,Visitor,VegasSpread,VegasTotal
PHI,DAL,6.5,46.5
LAC,KC,-2.5,45.5
ATL,TB,-1.5,48.5
CLE,CIN,-5.5,45
IND,MIA,-1,46
NE,LV,-3,42
NO,ARI,5,42.5
NYJ,PIT,-2.5,39
WAS,NYG,6.5,45
JAX,CAR,2.5,46
DEN,TEN,7.5,41
SEA,SF,-1.5,45.5
GB,DET,-1,50
LA,HOU,2.5,46
BUF,BAL,1,52.5
CHI,MIN,-1,44
