GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Visitor_x,Visitor_score,Home_x,Home_score,OTFlag,HomeWon,Spread,Total,SuccessfulPlay,Turnover,Team_Home,AvgPointsScored_Home,AvgPointsAllowed_Home,WinRate_Home,AvgPointsDefended_Home,AvgConcededPlays_Home,AvgForcedTurnovers_Home,AvgYardsPerPlay_Home,AvgYardsPerGame_Home,AvgPassCompletionRate_Home,AvgTouchdownsPerGame_Home,AvgRushSuccessRate_Home,AvgYardsAllowedPerPlay_Home,AvgYardsAllowedPerGame_Home,AvgPassCompletionAllowedRate_Home,AvgTouchdownsAllowedPerGame_Home,AvgRushSuccessAllowedRate_Home,Team_Visitor,AvgPointsScored_Visitor,AvgPointsAllowed_Visitor,WinRate_Visitor,AvgPointsDefended_Visitor,AvgConcededPlays_Visitor,AvgForcedTurnovers_Visitor,AvgYardsPerPlay_Visitor,AvgYardsPerGame_Visitor,AvgPassCompletionRate_Visitor,AvgTouchdownsPerGame_Visitor,AvgRushSuccessRate_Visitor,AvgYardsAllowedPerPlay_Visitor,AvgYardsAllowedPerGame_Visitor,AvgPassCompletionAllowedRate_Visitor,AvgTouchdownsAllowedPerGame_Visitor,AvgRushSuccessAllowedRate_Visitor,Diff_AvgPointsScored,Diff_AvgPointsAllowed,Diff_WinRate,Diff_AvgPointsDefended,Diff_AvgConcededPlays,Diff_AvgForcedTurnovers,Diff_AvgYardsPerPlay,Diff_AvgYardsPerGame,Diff_AvgPassCompletionRate,Diff_AvgTouchdownsPerGame,Diff_AvgRushSuccessRate,Diff_AvgYardsAllowedPerPlay,Diff_AvgYardsAllowedPerGame,Diff_AvgPassCompletionAllowedRate,Diff_AvgTouchdownsAllowedPerGame,Diff_AvgRushSuccessAllowedRate,ActualSpread,ActualTotal,PredictedSpread,PredictedTotal,HomeTeam,VisitorTeam,Home_y,Visitor_y,VegasSpread,VegasTotal,BetDiff,BetOn,Covered
2024100300,10/03/2024,4,13,25,ATL,TB,4,4,12,1,0,"(13:25) (NO HUDDLE, SHOTGUN) 18-K.COUSINS PASS SHORT LEFT TO 1-D.MOONEY FOR 12 YARDS, TOUCHDOWN.",0,2024,12,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,0,0,0,0,0,0,UNKNOWN,88,OPP,0,UNKNOWN,0,UNKNOWN,0,TB,30.0,ATL,36.0,OT,True,6.0,66.0,-1,0,ATL,23.12015916248191,25.137637632603163,0.4728345234399255,25.137637632603163,-1.0215142101068562,0.022980485766680336,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,TB,29.28548257979186,23.00993352128363,0.5555882352941176,23.00993352128363,-1.022574919076955,0.023439838501966518,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,-6.165323417309949,2.127704111319531,-0.08275371185419211,2.127704111319531,0.0010607089700989114,-0.0004593527352861823,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,6.0,66.0,-5.483671357351579,46.77604248802111,ATL,TB,ATL,TB,-1.5,48.5,-3.9836713573515787,Home,Visitor
2024100300,10/03/2024,4,13,18,ATL,TB,0,0,15,1,0,"6-Y.KOO EXTRA POINT IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2024,0,UNDER CENTER,EXTRA POINT,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,85,OPP,0,UNKNOWN,0,UNKNOWN,0,TB,30.0,ATL,36.0,OT,True,6.0,66.0,-1,0,ATL,23.12015916248191,25.137637632603163,0.4728345234399255,25.137637632603163,-1.0215142101068562,0.022980485766680336,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,TB,29.28548257979186,23.00993352128363,0.5555882352941176,23.00993352128363,-1.022574919076955,0.023439838501966518,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,-6.165323417309949,2.127704111319531,-0.08275371185419211,2.127704111319531,0.0010607089700989114,-0.0004593527352861823,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,6.0,66.0,-5.483671357351579,46.77604248802111,ATL,TB,ATL,TB,-1.5,48.5,-3.9836713573515787,Home,Visitor
2024100300,10/03/2024,4,13,18,ATL,TB,0,0,0,1,0,TIMEOUT AT 13:18.,0,2024,0,UNDER CENTER,UNKNOWN,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,100,OPP,0,UNKNOWN,0,UNKNOWN,0,TB,30.0,ATL,36.0,OT,True,6.0,66.0,-1,0,ATL,23.12015916248191,25.137637632603163,0.4728345234399255,25.137637632603163,-1.0215142101068562,0.022980485766680336,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,TB,29.28548257979186,23.00993352128363,0.5555882352941176,23.00993352128363,-1.022574919076955,0.023439838501966518,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,-6.165323417309949,2.127704111319531,-0.08275371185419211,2.127704111319531,0.0010607089700989114,-0.0004593527352861823,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,6.0,66.0,-5.483671357351579,46.77604248802111,ATL,TB,ATL,TB,-1.5,48.5,-3.9836713573515787,Home,Visitor
2024100300,10/03/2024,4,13,18,TB,ATL,0,0,35,1,0,"6-Y.KOO KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK TO THE TB 30.",0,2024,0,UNDER CENTER,KICK OFF,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,65,OPP,0,UNKNOWN,0,UNKNOWN,0,TB,30.0,ATL,36.0,OT,True,6.0,66.0,-1,0,ATL,23.12015916248191,25.137637632603163,0.4728345234399255,25.137637632603163,-1.0215142101068562,0.022980485766680336,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,4.108988385858758,8.217976771717517,0.8881024690689343,0.06098778232576854,4.825960496288809,TB,29.28548257979186,23.00993352128363,0.5555882352941176,23.00993352128363,-1.022574919076955,0.023439838501966518,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,4.067731718352999,8.135463436705997,0.879245414360795,0.06554592600327172,5.0079919020534085,-6.165323417309949,2.127704111319531,-0.08275371185419211,2.127704111319531,0.0010607089700989114,-0.0004593527352861823,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,0.041256667505759737,0.08251333501151947,0.008857054708139356,-0.004558143677503179,-0.18203140576459909,6.0,66.0,-5.483671357351579,46.77604248802111,ATL,TB,ATL,TB,-1.5,48.5,-3.9836713573515787,Home,Visitor
2024101000,10/10/2024,2,0,0,SEA,SF,0,0,0,1,0,END QUARTER 2,0,2024,0,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,100,OPP,0,UNKNOWN,0,UNKNOWN,0,SF,36.0,SEA,24.0,REG,False,-12.0,60.0,-1,0,SEA,22.462498288614306,21.919998747576834,0.5732048492384209,21.919998747576834,-1.0213114192988297,0.0234763222010287,3.8852486721202824,7.770497344240565,0.8785174810269559,0.056882570936936994,4.7961280757277684,3.8852486721202824,7.770497344240565,0.8785174810269559,0.056882570936936994,4.7961280757277684,SF,23.01634264113784,26.054955788348693,0.35739721592748463,26.054955788348693,-1.0236679790687826,0.024316828322343435,4.0815955768183745,8.163191153636749,0.8851837194921122,0.06612254911845564,4.819927495971999,4.0815955768183745,8.163191153636749,0.8851837194921122,0.06612254911845564,4.819927495971999,-0.5538443525235337,-4.134957040771859,0.21580763331093622,-4.134957040771859,0.0023565597699528595,-0.0008405061213147338,-0.19634690469809213,-0.39269380939618426,-0.006666238465156238,-0.009239978181518643,-0.023799420244230873,-0.19634690469809213,-0.39269380939618426,-0.006666238465156238,-0.009239978181518643,-0.023799420244230873,-12.0,60.0,4.6394225282341885,47.84197877671711,SEA,SF,SEA,SF,-1.5,45.5,6.1394225282341885,Visitor,Home
2024122910,12/29/2024,4,2,0,DAL,PHI,0,0,0,1,0,TWO-MINUTE WARNING,0,2024,0,UNDER CENTER,UNKNOWN,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,100,OPP,0,UNKNOWN,0,UNKNOWN,0,DAL,7.0,PHI,41.0,REG,True,34.0,48.0,-1,0,PHI,28.594957817680466,18.247165712205266,0.8465650895482492,18.247165712205266,-1.0223203707627435,0.023436777252882034,3.686838579140716,7.373677158281432,0.8834674254609914,0.0626706615775322,5.129045176385889,3.686838579140716,7.373677158281432,0.8834674254609914,0.0626706615775322,5.129045176385889,DAL,20.940252984999695,27.19968475226039,0.4161319890009166,27.19968475226039,-1.0245974915062201,0.02549932334511797,3.8417515545078107,7.683503109015621,0.8711575669198939,0.05973071683454402,4.706709796490397,3.8417515545078107,7.683503109015621,0.8711575669198939,0.05973071683454402,4.706709796490397,7.654704832680771,-8.952519040055122,0.4304331005473326,-8.952519040055122,0.002277120743476635,-0.002062546092235936,-0.15491297536709459,-0.30982595073418917,0.012309858541097563,0.0029399447429881848,0.4223353798954914,-0.15491297536709459,-0.30982595073418917,0.012309858541097563,0.0029399447429881848,0.4223353798954914,34.0,48.0,18.141432384756374,45.14947514174471,PHI,DAL,PHI,DAL,6.5,46.5,11.641432384756374,Visitor,Visitor
2024122910,12/29/2024,1,0,0,DAL,PHI,0,0,0,1,0,END QUARTER 1,0,2024,0,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,100,OPP,0,UNKNOWN,0,UNKNOWN,0,DAL,7.0,PHI,41.0,REG,True,34.0,48.0,-1,0,PHI,28.594957817680466,18.247165712205266,0.8465650895482492,18.247165712205266,-1.0223203707627435,0.023436777252882034,3.686838579140716,7.373677158281432,0.8834674254609914,0.0626706615775322,5.129045176385889,3.686838579140716,7.373677158281432,0.8834674254609914,0.0626706615775322,5.129045176385889,DAL,20.940252984999695,27.19968475226039,0.4161319890009166,27.19968475226039,-1.0245974915062201,0.02549932334511797,3.8417515545078107,7.683503109015621,0.8711575669198939,0.05973071683454402,4.706709796490397,3.8417515545078107,7.683503109015621,0.8711575669198939,0.05973071683454402,4.706709796490397,7.654704832680771,-8.952519040055122,0.4304331005473326,-8.952519040055122,0.002277120743476635,-0.002062546092235936,-0.15491297536709459,-0.30982595073418917,0.012309858541097563,0.0029399447429881848,0.4223353798954914,-0.15491297536709459,-0.30982595073418917,0.012309858541097563,0.0029399447429881848,0.4223353798954914,34.0,48.0,18.141432384756374,45.14947514174471,PHI,DAL,PHI,DAL,6.5,46.5,11.641432384756374,Visitor,Visitor
2024112401,11/24/2024,1,11,14,MIN,CHI,1,10,49,1,0,(11:14) 33-A.JONES LEFT END PUSHED OB AT CHI 8 FOR 41 YARDS (31-K.BYARD).,0,2024,41,UNDER CENTER,RUSH,1,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,LEFT END,51,OPP,0,UNKNOWN,0,UNKNOWN,0,MIN,30.0,CHI,27.0,OT,False,-3.0,57.0,-1,0,CHI,18.190665070793667,22.007645345061142,0.2875277689622342,22.007645345061142,-1.018361817810685,0.01897418768208725,3.631320863255952,7.262641726511904,0.8730538699920207,0.05315556050399896,4.579083518107908,3.631320863255952,7.262641726511904,0.8730538699920207,0.05315556050399896,4.579083518107908,MIN,24.7057536056505,20.02751383675239,0.7888726207906296,20.02751383675239,-1.0213595003676996,0.023702212782771903,3.8422819459536592,7.6845638919073185,0.8722787834634003,0.05680683152776406,4.402714932126697,3.8422819459536592,7.6845638919073185,0.8722787834634003,0.05680683152776406,4.402714932126697,-6.515088534856833,1.9801315083087516,-0.5013448518283954,1.9801315083087516,0.0029976825570146026,-0.004728025100684652,-0.21096108269770708,-0.42192216539541416,0.0007750865286204611,-0.0036512710237650986,0.1763685859812112,-0.21096108269770708,-0.42192216539541416,0.0007750865286204611,-0.0036512710237650986,0.1763685859812112,-3.0,57.0,-5.870258820545271,43.37212119749344,CHI,MIN,CHI,MIN,-1.0,44.0,-4.870258820545271,Home,Home
2024110310,11/03/2024,4,14,7,GB,DET,0,0,0,1,0,TIMEOUT AT 14:07.,0,2024,0,UNDER CENTER,UNKNOWN,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,100,OPP,0,UNKNOWN,0,UNKNOWN,0,DET,24.0,GB,14.0,REG,False,-10.0,38.0,-1,0,GB,26.25916874919411,20.28439023632638,0.5997596153846154,20.28439023632638,-1.0219666764306772,0.023168697183594582,4.007899457898754,8.015798915797507,0.8866959996330369,0.06065328816605513,4.702009498321551,4.007899457898754,8.015798915797507,0.8866959996330369,0.06065328816605513,4.702009498321551,DET,32.82887125856473,21.540756950735755,0.8203997648442093,21.540756950735755,-1.019569014803022,0.020845434635377726,4.254355677130518,8.508711354261036,0.8781831775043318,0.07405768165146491,4.802330346951996,4.254355677130518,8.508711354261036,0.8781831775043318,0.07405768165146491,4.802330346951996,-6.569702509370622,-1.2563667144093742,-0.22064014945959387,-1.2563667144093742,-0.00239766162765509,0.002323262548216857,-0.24645621923176453,-0.49291243846352906,0.008512822128705078,-0.013404393485409782,-0.10032084863044499,-0.24645621923176453,-0.49291243846352906,0.008512822128705078,-0.013404393485409782,-0.10032084863044499,-10.0,38.0,-3.525743054484036,45.64188238667019,GB,DET,GB,DET,-1.0,50.0,-2.525743054484036,Home,Home
2024102003,10/20/2024,4,1,27,CLE,CIN,0,0,0,1,0,TIMEOUT #3 BY CIN AT 01:27.,0,2024,0,UNDER CENTER,TIMEOUT,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,UNKNOWN,100,OPP,0,UNKNOWN,0,UNKNOWN,0,CIN,21.0,CLE,14.0,REG,False,-7.0,35.0,-1,0,CLE,15.36709079109168,25.70958691988887,0.17513080947983994,25.70958691988887,-1.0189392904312975,0.021011522521291615,3.65292218882361,7.30584437764722,0.8574042446600173,0.05573848886459899,4.6633752101773425,3.65292218882361,7.30584437764722,0.8574042446600173,0.05573848886459899,4.6633752101773425,CIN,28.293845238296377,26.128073860895064,0.5308491142333537,26.128073860895064,-1.0196150763032756,0.022404947088010184,3.944511401843894,7.889022803687788,0.8732823080403321,0.07583995554529294,4.576071477010715,3.944511401843894,7.889022803687788,0.8732823080403321,0.07583995554529294,4.576071477010715,-12.926754447204697,-0.41848694100619355,-0.35571830475351374,-0.41848694100619355,0.0006757858719781407,-0.0013934245667185687,-0.2915892130202842,-0.5831784260405684,-0.015878063380314833,-0.020101466680693944,0.08730373316662732,-0.2915892130202842,-0.5831784260405684,-0.015878063380314833,-0.020101466680693944,0.08730373316662732,-7.0,35.0,-9.841603018076187,46.399643744910826,CLE,CIN,CLE,CIN,-5.5,45.0,-4.341603018076187,Home,Home
