week 1,9/4/2025
week 2,9/11/2025
week 3,9/18/2025
week 4,9/25/2025
week 5,10/2/2025
week 6,10/9/2025
week 7,10/16/2025
week 8,10/23/2025
week 9,10/30/2025
week 10,11/6/2025
week 11,11/13/2025
week 12,11/20/2025
week 13,11/27/2025
week 14,12/4/2025
week 15,12/11/2025
week 16,12/18/2025
week 17,12/25/2025
week 18,12/25/2025
