Date,Visitor,Home,Time,Location,Week
10/2/2025,San Francisco,@ Los Angeles2,5:15 PM,"SoFi Stadium, Inglewood, CA",5
10/5/2025,Minnesota,@ Cleveland,6:30 AM,"Tottenham Hotspur Stadium, London, England",5
10/5/2025,Las Vegas,@ Indianapolis,10:00 AM,"Lucas Oil Stadium, Indianapolis, IN",5
10/5/2025,New York1,@ New Orleans,10:00 AM,"Caesars Superdome, New Orleans, LA",5
10/5/2025,Dallas,@ New York2,10:00 AM,"MetLife Stadium, East Rutherford, NJ",5
10/5/2025,Denver,@ Philadelphia,10:00 AM,"Lincoln Financial Field, Philadelphia, PA",5
10/5/2025,Miami,@ Carolina,10:00 AM,"Bank of America Stadium, Charlotte, NC",5
10/5/2025,Houston,@ Baltimore,10:00 AM,"M&T Bank Stadium, Baltimore, MD",5
10/5/2025,Tennessee,@ Arizona,1:05 PM,"State Farm Stadium, Glendale, AZ",5
10/5/2025,Tampa Bay,@ Seattle,1:05 PM,"Lumen Field, Seattle, WA",5
10/5/2025,Detroit,@ Cincinnati,1:25 PM,"Paycor Stadium, Cincinnati, OH",5
10/5/2025,Washington,@ Los Angeles1,1:25 PM,"SoFi Stadium, Inglewood, CA",5
10/5/2025,New England,@ Buffalo,5:20 PM,"Highmark Stadium, Orchard Park, NY",5
10/6/2025,Kansas City,@ Jacksonville,5:15 PM,"EverBank Stadium, Jacksonville, FL",5
10/9/2025,Philadelphia,@ New York1,5:15 PM,"MetLife Stadium, East Rutherford, NJ",6
10/12/2025,Denver,@ New York2,6:30 AM,"Tottenham Hotspur Stadium, London, England",6
10/12/2025,Arizona,@ Indianapolis,10:00 AM,"Lucas Oil Stadium, Indianapolis, IN",6
10/12/2025,Los Angeles1,@ Miami,10:00 AM,"Hard Rock Stadium, Miami Gardens, FL",6
10/12/2025,Cleveland,@ Pittsburgh,10:00 AM,"Acrisure Stadium, Pittsburgh, PA",6
10/12/2025,San Francisco,@ Tampa Bay,10:00 AM,"Raymond James Stadium, Tampa, FL",6
10/12/2025,Dallas,@ Carolina,10:00 AM,"Bank of America Stadium, Charlotte, NC",6
10/12/2025,Seattle,@ Jacksonville,10:00 AM,"EverBank Stadium, Jacksonville, FL",6
10/12/2025,Los Angeles2,@ Baltimore,10:00 AM,"M&T Bank Stadium, Baltimore, MD",6
10/12/2025,Tennessee,@ Las Vegas,1:05 PM,"Allegiant Stadium, Las Vegas, NV",6
10/12/2025,Cincinnati,@ Green Bay,1:25 PM,"Lambeau Field, Green Bay, WI",6
10/12/2025,New England,@ New Orleans,1:25 PM,"Caesars Superdome, New Orleans, LA",6
10/12/2025,Detroit,@ Kansas City,5:20 PM,"GEHA Field at Arrowhead Stadium, Kansas City, MO",6
10/13/2025,Buffalo,@ Atlanta,4:15 PM,"Mercedes-Benz Stadium, Atlanta, GA",6
