,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Date,Visitor,Visitor_score,Home,Home_score,OTFlag,Box Score,total_actual,spread_actual,Home_win,Visitor_win,Total_win,Spread_win
23,2,NYJ,BUF,43.1,11.8,-11.8,o43.1,u43.1,401772727,,-6.0,o47.5,,,6.0,u47.5,,Mininmal Edge,Away,5.800000000000001,4.399999999999999,,,09/14/2025,BUF,30,NYJ,10,,Box Score,40,20,False,True,0,1
24,2,BAL,CLE,51.3,-16.7,16.7,o51.3,u51.3,401772726,,11.5,o45.0,,,-11.5,u45.0,,Over,Home,5.199999999999999,6.299999999999997,,,09/14/2025,CLE,17,BAL,41,,Box Score,58,24,True,False,1,1
25,2,IND,DEN,48.3,1.3,-1.3,o48.3,u48.3,401772729,,-1.0,o43.5,,,1.0,u43.5,,Mininmal Edge,Mininmal Edge,0.3,4.799999999999997,,,09/14/2025,DEN,28,IND,29,,Box Score,57,1,True,False,0,0
26,2,ARI,CAR,49.5,-10.2,10.2,o49.5,u49.5,401772730,,7.0,o44.5,,,-7.0,u44.5,,Over,Mininmal Edge,3.1999999999999993,5.0,,,09/14/2025,CAR,22,ARI,27,,Box Score,49,5,True,False,1,0
27,2,KC,PHI,43.0,-1.0,1.0,o43.0,u43.0,401772837,,-1.0,o47.0,,,1.0,u47.0,,Mininmal Edge,Mininmal Edge,0.0,4.0,,,09/14/2025,PHI,20,KC,17,,Box Score,37,3,False,True,0,0
28,2,MIN,ATL,45.6,-5.8,5.8,o45.6,u45.6,401772919,,3.0,o44.5,,,-3.0,u44.5,,Mininmal Edge,Mininmal Edge,2.8,1.1000000000000014,,,09/14/2025,ATL,22,MIN,6,,Box Score,28,16,False,True,0,0
29,2,HOU,TB,47.6,0.6,-0.6,o47.6,u47.6,401772715,,2.5,o42.5,,,-2.5,u42.5,,Over,Mininmal Edge,1.9,5.100000000000001,,,09/15/2025,TB,20,HOU,19,,Box Score,39,1,False,True,0,0
30,2,LV,LAC,41.9,1.9,-1.9,o41.9,u41.9,401772811,,-3.5,o46.5,,,3.5,u46.5,,Mininmal Edge,Mininmal Edge,1.6,4.600000000000001,,,09/15/2025,LAC,20,LV,9,,Box Score,29,11,False,True,0,0
31,2,PIT,SEA,41.4,-3.0,3.0,o41.4,u41.4,401772836,,3.0,o40.0,,,-3.0,u40.0,,Mininmal Edge,Mininmal Edge,0.0,1.3999999999999986,,,09/14/2025,SEA,31,PIT,17,,Box Score,48,14,False,True,0,0
32,3,TEN,IND,42.2,3.7,-3.7,o42.2,u42.2,401772733,,-4.5,o43.5,,,4.5,u43.5,,Mininmal Edge,Mininmal Edge,0.7999999999999998,1.2999999999999972,,,09/21/2025,IND,41,TEN,20,,Box Score,61,21,False,True,0,0
33,3,BAL,DET,45.7,-4.8,4.8,o45.7,u45.7,401772812,,4.0,o53.0,,,-4.0,u53.0,,Under,Mininmal Edge,0.7999999999999998,7.299999999999997,,,09/22/2025,DET,38,BAL,30,,Box Score,68,8,False,True,0,0
34,3,NYG,KC,41.6,10.9,-10.9,o41.6,u41.6,401772920,,-6.0,o44.5,,,6.0,u44.5,,Mininmal Edge,Mininmal Edge,4.9,2.8999999999999986,,,09/21/2025,KC,22,NYG,9,,Box Score,31,13,False,True,0,0
35,3,SF,ARI,46.1,-7.7,7.7,o46.1,u46.1,401772843,,2.0,o45.5,,,-2.0,u45.5,,Mininmal Edge,Home,5.7,0.6000000000000014,,,09/21/2025,ARI,15,SF,16,,Box Score,31,1,True,False,0,1
36,3,CHI,DAL,43.8,1.9,-1.9,o43.8,u43.8,401772844,,-1.0,o50.0,,,1.0,u50.0,,Under,Mininmal Edge,0.8999999999999999,6.200000000000003,,,09/21/2025,DAL,14,CHI,31,,Box Score,45,17,True,False,1,0
37,3,SEA,NO,48.0,-4.2,4.2,o48.0,u48.0,401772736,,7.0,o41.5,,,-7.0,u41.5,,Over,Mininmal Edge,2.8,6.5,,,09/21/2025,NO,13,SEA,44,,Box Score,57,31,True,False,1,0
